    0.195455519388842580E+01    0.183551653113857083E+01    0.920199003917199931E+01   -0.851983368396759033E+00    0.833451747894287109E+01    0.568191707134246826E+00   -0.347813494917652279E+05   -0.690775511231546968E+01    1
    0.172458441386747352E+01    0.161199725256436821E+01    0.909260402458043160E+01   -0.146531873941421509E+01    0.883859395980834961E+01    0.700271368026733398E+00   -0.333235034382910671E+05   -0.690875511231548245E+01    1
    0.222414060304391414E+01    0.153622496681678933E+01    0.922595620900135316E+01   -0.331580638885498047E-02    0.594468712806701660E+02    0.824855268001556396E+00   -0.279590302217676362E+05   -0.690975511231547301E+01    1
    0.110230074019968510E+00    0.108951033186620416E+00    0.949492987128485666E+01   -0.228135973215103149E+01    0.292906397581100464E+04    0.651807248592376709E+00   -0.273755485158534393E+05   -0.691075511231547601E+01    1
    0.126919375862360018E+00    0.103527752618627358E+00    0.100775941656977022E+02   -0.122099381685256958E+01    0.288880598545074463E+04    0.821566820144653320E+00   -0.270053170226287984E+05   -0.691175511231546658E+01    1
    0.122535862700343140E+00    0.103058201824558993E+00    0.966860610751086291E+01   -0.122847467660903931E+01    0.263857483863830566E+04    0.398221135139465332E+00   -0.258672075198859129E+05   -0.691275511231547579E+01    1
    0.116413424477219585E+00    0.102171591251715488E+00    0.994964588875333078E+01   -0.100089728832244873E+00    0.256361871957778931E+04    0.290932655334472656E-01   -0.254006834538567309E+05   -0.691375511231547435E+01    1
    0.131459613384783264E+00    0.114281080987879285E+00    0.953571532459226034E+01   -0.182974028587341309E+01    0.267227196693420410E+04    0.620001435279846191E+00   -0.249619227533729463E+05   -0.691475511231548357E+01    1
    0.129960001869857317E+00    0.102763527540473673E+00    0.917628593770401935E+01   -0.196267467737197876E+01    0.241381555795669556E+04    0.759874165058135986E+00   -0.247265953037432009E+05   -0.691575511231552209E+01    1
    0.139743460456609736E+00    0.122719387236396305E+00    0.957980917107831331E+01   -0.169903159141540527E+00    0.253105008602142334E+04    0.765818357467651367E+00   -0.244147989696859186E+05   -0.691675511231554463E+01    1
    0.113739481226849559E+01    0.857889732292262841E+00    0.100298732491521818E+02   -0.478948712348937988E+00    0.922270417213439941E+02    0.587683320045471191E-01   -0.243911387444098727E+05   -0.691775511231549967E+01    1
    0.107439166495442384E+00    0.107214298455365065E+00    0.101492942206653911E+02   -0.112013506889343262E+01    0.196368581056594849E+04    0.793125569820404053E+00   -0.241815503034108806E+05   -0.691875511231549378E+01    1
    0.129658258702933793E+00    0.111725156537497733E+00    0.978995351091182542E+01   -0.125689750909805298E+01    0.245190560817718506E+04    0.147632658481597900E+00   -0.240281736092496431E+05   -0.691975511231551454E+01    1
    0.158323859560668467E+00    0.120600306691312581E+00    0.951684111500680530E+01   -0.260811805725097656E+00    0.251416021585464478E+04    0.852135479450225830E+00   -0.238501192647407770E+05   -0.692075511231548113E+01    1
    0.154442601368308063E+00    0.116746869846635015E+00    0.974844931716029173E+01    0.275946855545043945E+00    0.241374456882476807E+04    0.925954401493072510E+00   -0.238212028837022444E+05   -0.692175511231547080E+01    1
    0.172217268179655075E+00    0.114768490270300963E+00    0.974433252499581393E+01    0.497897863388061523E+00    0.276808780431747437E+04    0.272288978099822998E+00   -0.237892997988423922E+05   -0.692275511231549334E+01    1
    0.152427728712737576E+00    0.138915129470842169E+00    0.922234400024825085E+01   -0.896443128585815430E-01    0.275925010442733765E+04    0.237434744834899902E+00   -0.236261420362660538E+05   -0.692375511231548746E+01    1
